suite	test	group
Wire	SerializedString_ConvertsToSnapshotViaTypeSystem_AndResumesToSuccess	snapshot restore, parked (#18)
Wire	MidStackChain_SurvivesDisk_ResumesDeep_AndUnwindsToEntryGoal	snapshot restore, parked (#18)
Wire	PlangPath_AsSnapshotConvert_EditSurvivesResume	snapshot restore, parked (#18)
Wire	ThrowTimeSnapshot_EditSurvivesResume	snapshot restore, parked (#18)
Wire	TypedSnapshotString_NavigateEditResume_PersistsEdit	snapshot restore, parked (#18)
Wire	NavigateAndEditCapturedVariable_ThenResumeToSuccess	snapshot restore, parked (#18)
Wire	Cut4_TamperingPropertyValue_FailsOuterSignatureVerify	security regressions, parked (#23)
Wire	OuterSignature_AfterPropertiesValueTamper_FailsVerify	security regressions, parked (#23)
Wire	AssertionError_Message_MasksSensitiveViaDiagnosticOutput	security regressions, parked (#23)
Wire	Statics_RoundTrip_PreservesNameValuePairs	Statics' own untyped bag (none)
Wire	Serialize_Object_ReturnsJson	old serializer expectations (none)
Wire	Serialize_Object_IgnoresNullProperties	old serializer expectations (none)
Wire	Serialize_Enum_UsesCamelCase	old serializer expectations (none)
Wire	Properties_RoundTrip_ListOfPrimitives	old serializer expectations (none)
Wire	Properties_RoundTrip_NestedDictOfPrimitives	old serializer expectations (none)
Wire	Roundtrip_PreservesData	old serializer expectations (none)
Wire	Roundtrip_StreamBased_PreservesData	old serializer expectations (none)
Wire	OnAsk_OnMessageChannel_FiresPreSerialise	other (none)
Wire	TemplateParam_ResolvesOnLoad_NoFlagStaysLiteral	other (none)
Modules	If_OrchestratedBranchAction_ReturnsError_PropagatesThroughStep	condition fixtures in the pre-Child shape (none)
Modules	If_OrchestratedSuccess_MarksResultHandled	condition fixtures in the pre-Child shape (none)
Modules	Run_ConditionTrue_OrchestrateThenBranch	condition fixtures in the pre-Child shape (none)
Modules	Run_ConditionFalse_SkipsThenBranch	condition fixtures in the pre-Child shape (none)
Modules	Run_IfElse_TrueRunsThen	condition fixtures in the pre-Child shape (none)
Modules	Run_IfElse_FalseRunsElse	condition fixtures in the pre-Child shape (none)
Modules	Run_InnerGoalCondition_OrchestatesIndependently	condition fixtures in the pre-Child shape (none)
Modules	IfTrue_Orchestrate_RunsThenBranch	condition fixtures in the pre-Child shape (none)
Modules	IfFalse_Orchestrate_RunsElseBranch	condition fixtures in the pre-Child shape (none)
Modules	Foreach_BodyInnerGoalFailsInsideConditionIf_PropagatesError	condition fixtures in the pre-Child shape (none)
Modules	FluidInclude_InRootTemplate_RendersSilently	ui include renders a size summary (none)
Modules	Render_IncludeResolvesFromGoalDirectory	ui include renders a size summary (none)
Modules	Render_Include_NestedPathResolvesRelativeToPartial	ui include renders a size summary (none)
Modules	Render_Include_RendersPartialInline	ui include renders a size summary (none)
Modules	Render_Include_InheritsVariables	ui include renders a size summary (none)
Modules	Variables_Clone_SettingsData_MissingKey_ReturnsAskError	settings / identity (none)
Modules	Settings_DotNotation_MissingKey_ReturnsAskError	settings / identity (none)
Modules	ErrorPropagation_VariablesGet_SettingsMissing_ReturnsAskError	settings / identity (none)
Modules	Set_NullValue_StoresAndRetrieves	settings / identity (none)
Modules	MyIdentity_UpdatedAfterSetDefault	settings / identity (none)
Modules	ActorDataSource_IsCreatedLazily	settings / identity (none)
Modules	Settings_CorruptDatabase_ReturnsSettingsError	settings / identity (none)
Modules	ReflectionRead_ReproducesTheGoalGraph_LikeStj	goal read/written through STJ (none)
Modules	SaveGoal_CamelCase_StoreOnly	goal read/written through STJ (none)
Modules	SaveGoal_WithSubGoals_SingleFile	goal read/written through STJ (none)
Modules	SaveGoal_SerializesToPrPath	goal read/written through STJ (none)
Modules	LoadAction_ValidDll_RegistersProvider	test DLL fixtures built against removed types (none)
Modules	LoadAction_NoCtorDll_ReturnsProviderConstructorError	test DLL fixtures built against removed types (none)
Modules	GenerateLlmFilePath_ProducedViaPathDerivationVerbs	debug trace (none)
Modules	TraceWrite_GoesThroughPathVerbs_NotFileWriteAllText	debug trace (none)
Modules	Discover_WithDotDotTraversal_DeniedByAuthGate	other (none)
Modules	Hash_SHA256_ProducesCorrectHash	other (none)
Modules	Hash_Keccak256_ProducesCorrectHash	other (none)
Modules	ModuleActions_RenderTheirNames_ThroughFluid	other (none)
Modules	GoalCall_StillIncluded	other (none)
Modules	Query_CacheHit_PropertiesPreserved	other (none)
Modules	Set_NameTypedAsText_DeclinesAtDispatch	other (none)
Modules	Validate_TypeMismatch_ReturnsError	other (none)
Types	LoadDll_SealedNameAsRendererTypeName_FailsWith_TypeLoadCollision	test DLL fixtures built against removed types (none)
Types	LoadDll_Money_RegistersTypeAndRenderer_ProducesExpectedWireString	test DLL fixtures built against removed types (none)
Types	LoadDll_CustomInt_OverridesBuiltInName_RuntimeRendererWins	test DLL fixtures built against removed types (none)
Types	Schema_Kinds_CoversAdvertisedAndExtensionFamilies	kinds catalog (none)
Types	Schema_Kinds_AdvertisesNumberPrecisions	kinds catalog (none)
Types	Entity_Kinds_PopulatedForNumber	kinds catalog (none)
Types	SetAsTextMd_NavigationResolvesKindFromVariableExpression	kinds catalog (none)
Types	SetAsImage_MintsPathBackedHandle_NoReadAtSet	path-backed image (none)
Types	Serialize_PathBackedImage_EmitsRealBytes_NotEmpty	path-backed image (none)
Types	Serialize_WalksNestedImage_InsideDictionary	path-backed image (none)
Types	Serialize_StrictMismatch_FailsCleanly_BeforeStreamWrite	path-backed image (none)
Types	Deserialize_FullDict_Works	other (none)
Types	Deserialize_JustName_Works	other (none)
Types	Data_PropertyAccess_UsesDeclaredTypeForMaterialization	other (none)
Types	Data_Materialization_CachesResultOnFirstAccess	other (none)
Types	LlmQuery_Build_WithSchema_ReturnsOkWithJson	other (none)
Types	LlmQuery_Build_WithFormatNoSchema_ReturnsOkWithFormatValue	other (none)
Types	LlmQuery_Build_NeitherSchemaNorFormat_ReturnsBareOk	other (none)
Types	BuilderValidate_OnlyOneTerminalVariableSetPerStep_LastInChainWins	other (none)
Types	BuilderValidate_BuildReturnsOkWithTypeName_SetsTerminalVariableSetType	other (none)
Types	Wire_Write_OmitsTypeForNullSentinel	other (none)
Types	Resolve_Context_NotStored_OnInstance	other (none)
Types	Redirect_Signature_IsFreshForDestination_NotOriginalUrl	other (none)
Data	FullPipeline_LoadAndExecute_VariablesOutputDefaults	test `.pr` files in the old format (#21 / #12)
Data	FilePaths_FromRoot_RelativeAbsoluteSubfolderDotSlash	test `.pr` files in the old format (#21 / #12)
Data	FilePaths_FromSubfolder_AbsoluteRootWorks	test `.pr` files in the old format (#21 / #12)
Data	ReadFile_ReturnMapsResultToVariable	test `.pr` files in the old format (#21 / #12)
Data	MergeStep_EmptyActions_ClearsStepActions	fixture modules not registered (none)
Data	ValidateActions_OneInvalid_ReturnsActionNotFound	fixture modules not registered (none)
Data	ValidateActions_MixedValidAndInvalid_ReturnsActionNotFound	fixture modules not registered (none)
Data	StepRunAsync_HandlerWithoutICodeGenerated_ReturnsError	fixture modules not registered (none)
Data	StepRunAsync_ExceptionInHandler_ReturnsError	fixture modules not registered (none)
Data	StepRunAsync_ActionNotFound_ReturnsError	fixture modules not registered (none)
Data	Parse_yields_expected_token_stream(goal·Step[planStep·index],	plural-to-singular rename, stale expectations (none)
Data	Parse_yields_expected_token_stream(goal·Step[step·Index]·Action,	plural-to-singular rename, stale expectations (none)
Data	Split_peels_head_from_tail	plural-to-singular rename, stale expectations (none)
Data	Reader_DoesNotSniffXmlByLookingForAngleBracket	reader counts / sniffing (none)
Data	Reader_DoesNotSniffCsvByLookingForCommas	reader counts / sniffing (none)
Data	Reader_DoesNotSniffJsonByLookingForLeadingBrace	reader counts / sniffing (none)
Data	Reader_DoesNotSniffYamlByLookingForColon	reader counts / sniffing (none)
Data	Value_AuthoredPath_NeverInvokesReader	reader counts / sniffing (none)
Data	VarReference_InAuthoredValue_StillResolvesFreshPerRead	reader counts / sniffing (none)
Data	Read_NumberBigInteger_From22DigitString_LossLess	number precision on read (none)
Data	Read_NumberUInt_FromBigDecimalString_ProducesUInt	number precision on read (none)
Data	Read_NumberHalf_FromString_PreservesHalf	number precision on read (none)
Data	Read_NumberFloat_NegativeZero_PreservesSignAndKind	number precision on read (none)
Data	Cut5_RoundTrip_PreservesExactKind_AcrossTower	number precision on read (none)
Data	Reader_Of_NumberInt_ReturnsDelegate	number precision on read (none)
Data	Reader_Of_NumberBigInteger_ReturnsDelegate	number precision on read (none)
Data	NumberRead_MatchesPriorConvertOutput	number precision on read (none)
Data	Materialize_JsonObjectRoot_NarrowsToDict	json materialisation (none)
Data	Materialize_JsonArrayRoot_NarrowsToListValueType	json materialisation (none)
Data	Navigation_ReadsValueWhichMaterialises	json materialisation (none)
Data	TimeSpanIso8601_LivesInFormatLayer_NotOnType	format registry (none)
Data	ErrorWire_RegisteredOnlyWhereItApplies_Snapshot	format registry (none)
Data	Snapshot_FromWire_StillExists	format registry (none)
Data	TableXlsx_HasNoReaderYet_ThrowsUntilOneIsAdded	format registry (none)
Data	GetValue_WithMismatchedType_ReturnsDefault	other (none)
Data	GetValue_Generic_WrongType_ReturnsDefault	other (none)
Data	Add_ThrowsWhenPathIsEmptyString	other (none)
Data	ResolveValue_FullMissingVariable_FailsVariableNotFound	other (none)
Data	AsT_SameType_ReturnsSourceInstance	other (none)
Data	AsT_PlainDataTarget_VarReference_ReturnsLiveVariableData	other (none)
Data	IsEmpty_EmptyString_ReturnsTrue	other (none)
Data	Type_LazyDerivation_WithContext	other (none)
Data	Cut1_UntouchedConfigJson_SerializesByteIdentical	other (none)
Data	ToDictionary_ReturnsAllVariables	other (none)
Data	Set_StripsPercentFromName	other (none)
Generator	AppRun_OnSuccess_FinallySnapshotsAndPops	`matrix.*` fixture modules not registered (none)
Generator	AppRun_HandlerThrowsOCE_TranslatesToServiceError_DoesNotPropagate	`matrix.*` fixture modules not registered (none)
Generator	StepRunAsync_CancellationTokenCancelled_LetsOCEPropagate	`matrix.*` fixture modules not registered (none)
Generator	AppRun_CalledTwiceByRetryModifier_TwoFramesAndSnapshots	`matrix.*` fixture modules not registered (none)
Generator	AppRun_PushesAndPopsCallstackFrame_AroundHandler	`matrix.*` fixture modules not registered (none)
Generator	AppRun_SavesAndRestoresContextGoal	`matrix.*` fixture modules not registered (none)
Generator	AppRun_SavesAndRestoresContextStep	`matrix.*` fixture modules not registered (none)
Generator	AppRun_HandlerThrows_TranslatesToServiceError_AndPopsFrame	`matrix.*` fixture modules not registered (none)
Generator	IContextHandler_ContextSameInstance_AsExecuteAsyncArg	`matrix.*` fixture modules not registered (none)
Generator	StringPlain_ReadTwice_ReturnsCachedBackingField	`matrix.*` fixture modules not registered (none)
